iter	Passed	Remaining
422	17552	3195
423	17599	3154
424	17675	3119
425	17735	3080
426	17806	3044
427	17863	3005
428	17917	2965
429	17964	2924
430	18008	2882
431	18050	2841
432	18093	2799
433	18137	2758
434	18182	2716
435	18226	2675
436	18271	2634
437	18327	2594
438	18381	2554
439	18431	2513
440	18483	2472
441	18543	2433
442	18590	2392
443	18639	2350
444	18685	2309
445	18728	2267
446	18774	2226
447	18820	2184
448	18863	2142
449	18904	2100
450	18945	2058
451	18990	2016
452	19045	1976
453	19088	1934
454	19130	1892
455	19169	1849
456	19207	1807
457	19247	1765
458	19286	1722
459	19323	1680
460	19362	1638
461	19399	1595
462	19434	1553
463	19470	1510
464	19509	1468
465	19548	1426
466	19584	1383
467	19623	1341
468	19660	1299
469	19696	1257
470	19731	1214
471	19769	1172
472	19807	1130
473	19842	1088
474	19878	1046
475	19913	1004
476	19949	961
477	19985	919
478	20025	877
479	20062	835
480	20099	793
481	20137	752
482	20174	710
483	20211	668
484	20249	626
485	20287	584
486	20325	542
487	20362	500
488	20398	458
489	20434	417
490	20471	375
491	20507	333
492	20547	291
493	20583	249
494	20623	208
495	20659	166
496	20696	124
497	20732	83
498	20772	41
499	20808	0
