iter	RMSE
347	0.4636177319
348	0.4634143614
349	0.4628723735
350	0.4626462207
351	0.4622695049
352	0.4617813867
353	0.4613917593
354	0.4609403137
355	0.4605040126
356	0.4598333595
357	0.4598025276
358	0.4588851627
359	0.4580052463
360	0.4575397329
361	0.4570860142
362	0.4550648833
363	0.4546402356
364	0.4536126959
365	0.4532531727
366	0.4522923818
367	0.4517120122
368	0.4505618754
369	0.4497483415
370	0.4489262915
371	0.4485052096
372	0.4480615649
373	0.4476083742
374	0.4467144779
375	0.4466935377
376	0.4463778338
377	0.4457591525
378	0.4451005646
379	0.4436239751
380	0.4427037753
381	0.4417786835
382	0.4411143799
383	0.4405307236
384	0.4399375105
385	0.439715892
386	0.439267454
387	0.4385251361
388	0.4374676717
389	0.4367960601
390	0.4357847176
391	0.4355999526
392	0.4347326263
393	0.4339914353
394	0.4338670681
395	0.4335691215
396	0.4328791747
397	0.432169191
398	0.4312213436
399	0.4310147641
400	0.4308105419
401	0.4307076797
402	0.4303764496
403	0.4296743187
404	0.4295347622
405	0.4290636605
406	0.4288897069
407	0.4284744297
408	0.4283172903
409	0.4278197056
410	0.4268224549
411	0.426490932
412	0.4261276827
413	0.4252167909
414	0.4250699807
415	0.424406984
416	0.4235294145
417	0.4232696444
418	0.4230308641
419	0.4222600765
420	0.4221475303
421	0.4209890848
422	0.4209132978
423	0.4202655249
424	0.4190210179
425	0.4184753666
426	0.4179334373
427	0.4177094247
428	0.4173619515
429	0.4168369024
430	0.4159421248
431	0.414994966
432	0.4142595482
433	0.4131732674
434	0.4130602876
435	0.4123701653
436	0.4121029104
437	0.4117412903
438	0.4116633841
439	0.4114767948
440	0.411131874
441	0.4110354698
442	0.4106055959
443	0.4103780209
444	0.4100373652
445	0.4097738165
446	0.4090450778
447	0.407659283
448	0.4070721872
449	0.4068679809
450	0.4065164451
451	0.4064669024
452	0.4063210394
453	0.405541137
454	0.4053815106
455	0.4050569301
456	0.4043665888
457	0.4035758124
458	0.4034881287
459	0.4026623093
460	0.4024737103
461	0.40163821
462	0.4009851625
463	0.4009209678
464	0.4002481871
465	0.40017924
466	0.3993188886
467	0.3988636944
468	0.3987200099
469	0.3983947433
470	0.3979982539
471	0.3979067347
472	0.3978650847
473	0.397752009
474	0.3972750838
475	0.397195635
476	0.3971096362
477	0.3968720841
478	0.3954817682
479	0.3949850122
480	0.3941797966
481	0.3935912331
482	0.3928316936
483	0.3924876324
484	0.3922647008
485	0.3916587459
486	0.3909246686
487	0.3904675048
488	0.3898364445
489	0.3894401291
490	0.3890576226
491	0.3889263135
492	0.3884617644
493	0.3879776825
494	0.3873575484
495	0.3868476963
496	0.386708738
497	0.3864294774
498	0.3863720154
499	0.3861846338
